employee_id,department,gender,job_level,performance_rating,engagement,salary_thousands,tenure_years,age_years,promotion_indicator,record_start_date,record_end_date,termination_indicator,termination_date
0,Account/Client Management,Male,Individual Contributor,2,3,165,49,36,0,1/1/2018,12/31/2018,0,
1,Technology,Male,Individual Contributor,4,5,68,23,25,1,1/1/2018,12/31/2018,0,
2,Account/Client Management,Male,Individual Contributor,4,5,109,11,33,0,1/1/2018,12/31/2018,0,
3,Account/Client Management,Male,Individual Contributor,4,3,143,27,52,0,1/1/2018,12/31/2018,0,
4,Account/Client Management,Male,Individual Contributor,3,5,83,8,34,0,1/1/2018,12/31/2018,0,
5,Account/Client Management,Female,Manager,4,3,393,5,27,0,1/1/2018,12/31/2018,0,
6,Technology,Female,Individual Contributor,3,4,196,56,45,0,1/1/2018,12/31/2018,0,
7,Account/Client Management,Male,Manager,1,5,243,29,48,0,1/1/2018,12/31/2018,0,
8,Technology,Male,Individual Contributor,4,5,111,35,60,0,1/1/2018,12/31/2018,0,
9,"Corporate Admin (HR, Finance, etc)",Male,Individual Contributor,3,3,71,12,37,0,1/1/2018,12/31/2018,0,
10,Account/Client Management,Female,Senior Leader,4,4,816,11,36,0,1/1/2018,12/31/2018,0,
11,Account/Client Management,Male,Manager,4,5,213,26,47,0,1/1/2018,12/31/2018,0,
12,Account/Client Management,Male,Senior Leader,5,4,669,16,31,0,1/1/2018,12/31/2018,0,
13,"Corporate Admin (HR, Finance, etc)",Male,Manager,5,2,142,6,32,0,1/1/2018,12/31/2018,0,
14,Account/Client Management,Female,Individual Contributor,3,3,118,27,47,0,1/1/2018,12/31/2018,0,
15,Account/Client Management,Male,Individual Contributor,4,4,101,23,48,0,1/1/2018,12/31/2018,0,
16,"Corporate Admin (HR, Finance, etc)",Female,Manager,2,4,324,4,25,0,1/1/2018,12/25/2018,1,12/25/2018 0:00
17,Technology,Female,Individual Contributor,3,1,77,18,41,0,1/1/2018,12/31/2018,0,
18,Account/Client Management,Female,Individual Contributor,5,1,79,4,33,0,1/1/2018,12/31/2018,0,
19,Account/Client Management,Male,Manager,2,3,130,4,25,0,1/1/2018,12/31/2018,0,
20,Account/Client Management,Female,Individual Contributor,4,1,178,35,29,0,1/1/2018,12/31/2018,0,
21,"Corporate Admin (HR, Finance, etc)",Female,Individual Contributor,3,4,176,5,28,0,1/1/2018,12/31/2018,0,
22,Technology,Female,Manager,5,2,114,18,21,0,1/1/2018,12/31/2018,0,
23,Technology,Male,Executive,4,2,2799,19,45,0,1/1/2018,12/31/2018,0,
24,Technology,Male,Manager,4,5,408,6,33,0,1/1/2018,12/31/2018,0,
25,Account/Client Management,Male,Manager,5,2,120,3,32,1,1/1/2018,12/31/2018,0,
26,Account/Client Management,Male,Senior Leader,4,3,824,48,38,0,1/1/2018,12/31/2018,0,
27,Technology,Male,Senior Leader,4,5,523,47,57,0,1/1/2018,12/31/2018,0,
28,Technology,Male,Senior Leader,5,3,1309,14,35,0,1/1/2018,12/31/2018,0,
