,employee_id,department,gender,job_level,performance_rating,engagement,salary_thousands,tenure_years,age_years,promotion_indicator,record_start_date,record_end_date,termination_indicator,termination_date
0,0,Account/Client Management,Male,Individual Contributor,2.0,3.0,165,49,36,0,2018-01-01,2018-12-31,0,
1,1,Technology,Male,Individual Contributor,4.0,5.0,68,23,25,1,2018-01-01,2018-12-31,0,
2,2,Account/Client Management,Male,Individual Contributor,4.0,5.0,109,11,33,0,2018-01-01,2018-12-31,0,
3,3,Account/Client Management,Male,Individual Contributor,4.0,3.0,143,27,52,0,2018-01-01,2018-12-31,0,
4,4,Account/Client Management,Male,Individual Contributor,3.0,5.0,83,8,34,0,2018-01-01,2018-12-31,0,
5,5,Account/Client Management,Female,Manager,4.0,3.0,393,5,27,0,2018-01-01,2018-12-31,0,
6,6,Technology,Female,Individual Contributor,3.0,4.0,196,56,45,0,2018-01-01,2018-12-31,0,
7,7,Account/Client Management,Male,Manager,1.0,5.0,243,29,48,0,2018-01-01,2018-12-31,0,
8,8,Technology,Male,Individual Contributor,4.0,5.0,111,35,60,0,2018-01-01,2018-12-31,0,
9,9,"Corporate Admin (HR, Finance, etc)",Male,Individual Contributor,3.0,3.0,71,12,37,0,2018-01-01,2018-12-31,0,
10,10,Account/Client Management,Female,Senior Leader,4.0,4.0,816,11,36,0,2018-01-01,2018-12-31,0,
11,11,Account/Client Management,Male,Manager,4.0,5.0,213,26,47,0,2018-01-01,2018-12-31,0,
12,12,Account/Client Management,Male,Senior Leader,5.0,4.0,669,16,31,0,2018-01-01,2018-12-31,0,
13,13,"Corporate Admin (HR, Finance, etc)",Male,Manager,5.0,2.0,142,6,32,0,2018-01-01,2018-12-31,0,
14,14,Account/Client Management,Female,Individual Contributor,3.0,3.0,118,27,47,0,2018-01-01,2018-12-31,0,
15,15,Account/Client Management,Male,Individual Contributor,4.0,4.0,101,23,48,0,2018-01-01,2018-12-31,0,
16,16,"Corporate Admin (HR, Finance, etc)",Female,Manager,2.0,4.0,324,4,25,0,2018-01-01,2018-12-25,1,2018-12-25 00:00:00
17,17,Technology,Female,Individual Contributor,3.0,1.0,77,18,41,0,2018-01-01,2018-12-31,0,
18,18,Account/Client Management,Female,Individual Contributor,5.0,1.0,79,4,33,0,2018-01-01,2018-12-31,0,
19,19,Account/Client Management,Male,Manager,2.0,3.0,130,4,25,0,2018-01-01,2018-12-31,0,
